货主,入库单号,来源单号,入库单类型,货品编码,计划数量,已收货数,已上架数,货号,商品名称,颜色,规格,创建时间,收货日期,首状态,尾状态,整单完成时间,客退快递单号,备注,仓库
Spyder,771347,EB2601220022752,退货入库,6942133528287,1,1,1,25425CF217M001,羽绒服,黑色,,2026-02-02 10:32:02,2026-02-04 11:44:25,已完成,已完成,2026-02-04 11:51:52,YT2582068604701,,合肥仓
Spyder,771492,EB2601240012683,退货入库,6942133529574,1,1,1,25425CF241MP16,羽绒服,凝夜紫,,2026-01-31 10:07:02,2026-02-02 10:11:22,已完成,已完成,2026-02-02 10:39:35,SF3264742085048,,合肥仓
Spyder,773638,EB2601250043596,退货入库,6941816947544,1,1,1,24324EF171MMHB,黑色/蓝色夹克,黑色/蓝色,,2026-02-01 15:20:02,2026-02-03 17:03:45,已完成,已完成,2026-02-03 17:41:15,773404771255744,,合肥仓
Spyder,773969,EB2601260042817,退货入库,6942105347199,1,1,1,23423MF247M2OK,游牧灰棉服,游牧灰,,2026-01-31 20:56:00,2026-02-02 16:50:29,已完成,已完成,2026-02-02 17:27:25,YT2537056246483,,合肥仓
Spyder,773971,EB2601260034543,退货入库,6942105348929,1,1,1,99923EF133M001,黑色冲锋衣,黑色,,2026-01-31 20:55:00,2026-02-02 16:50:17,已完成,已完成,2026-02-02 17:27:25,YT2537056246483,,合肥仓
Spyder,774513,EB2601230035832,退货入库,6932472770461,1,1,1,25225CS131MB18,夹克,河川蓝,,2026-01-31 10:55:01,2026-02-02 14:19:02,已完成,已完成,2026-02-02 15:17:02,YT2581989930780,,合肥仓
Spyder,774514,EB2601230035831,退货入库,6932472700512,1,1,1,24424CF521MN10,板岩灰裤子,N10,,2026-01-31 10:55:00,2026-02-02 14:19:09,已完成,已完成,2026-02-02 15:17:02,YT2581989930780,,合肥仓
Spyder,774515,EB2601230035831,退货入库,6942105346024,1,1,1,23423CF521M001,黑色裤子,黑色,,2026-01-31 10:55:00,2026-02-02 14:18:24,已完成,已完成,2026-02-02 15:17:02,YT2581989930780,,合肥仓
Spyder,774516,EB2601230035832,退货入库,6942105390072,1,1,1,24124CS411M100,白色T恤,白色,,2026-01-31 10:55:00,2026-02-02 14:18:34,已完成,已完成,2026-02-02 15:17:02,YT2581989930780,,合肥仓
Spyder,774517,EB2601230035832,退货入库,6932472767959,1,1,1,25225CS017MXG9,海草绿T恤,海草绿,,2026-01-31 10:55:01,2026-02-02 14:18:52,已完成,已完成,2026-02-02 15:17:02,YT2581989930780,,合肥仓
Spyder,774518,EB2601230035831,退货入库,6941767152721,1,1,1,23123CS529MG07,深苔绿裤子,深苔绿,,2026-01-31 10:54:00,2026-02-02 14:18:14,已完成,已完成,2026-02-02 15:17:02,YT2581989930780,,合肥仓
Spyder,774574,EB2601280033151,退货入库,6942133530464,1,1,1,25425CF127M001,夹克,黑色,,2026-01-31 09:42:02,2026-02-03 16:44:40,已完成,已完成,2026-02-03 17:41:13,312952759314837,,合肥仓
Spyder,774575,EB2601260027490,退货入库,6942133530464,1,1,1,25425CF127M001,夹克,黑色,,2026-01-31 09:42:00,2026-02-03 16:49:40,已完成,已完成,2026-02-03 17:41:13,312952759611261,,合肥仓
Spyder,774598,EB2601260001033,退货入库,6942133505615,1,1,1,25325MF110WN17,夹克,浅云灰,,2026-02-01 08:42:00,2026-02-03 16:42:58,已完成,已完成,2026-02-03 17:41:12,435025817741186,,合肥仓
Spyder,774604,EB2601280028637,退货入库,6942133530419,1,1,1,25425CF127MN94,夹克,羽毛灰1,,2026-02-01 17:33:00,2026-02-03 09:35:05,已完成,已完成,2026-02-03 09:49:39,SF5100483890634,,合肥仓
Spyder,774607,EB2601280023493,退货入库,6942133518240,1,1,1,25325CF427M001,T恤,黑色,,2026-01-31 11:12:01,2026-02-02 17:34:52,已完成,已完成,2026-02-02 18:34:47,312952783929632,,合肥仓
Spyder,774610,EB2601280028416,退货入库,6942133530716,1,1,1,25425CF527MN94,裤子,羽毛灰1,,2026-01-31 11:56:01,2026-02-02 10:39:14,已完成,已完成,2026-02-02 10:39:43,JDX048598026969,,合肥仓
Spyder,774614,EB2601260042975,退货入库,6942105307056,1,1,1,23323CF202W001,黑色棉服,黑色,,2026-02-01 08:43:00,2026-02-03 16:51:16,已完成,已完成,2026-02-03 17:41:14,435025820188677,,合肥仓
Spyder,774617,EB2601250047388,退货入库,6942133528287,1,1,1,25425CF217M001,羽绒服,黑色,,2026-01-31 10:17:01,2026-02-02 10:00:59,已完成,已完成,2026-02-02 10:39:34,JDX048566529794,,合肥仓
Spyder,774618,EB2601270025970,换货入库,6932472791398,1,1,1,25325EF201M001,羽绒服,黑色,,2026-01-31 12:24:00,2026-02-06 11:09:28,已完成,已完成,2026-02-06 11:54:07,1343435742418,,合肥仓
Spyder,774621,EB2601270025970,退货入库,6942133527556,1,1,1,25325CF417MN22,T恤,灰铜绿,,2026-01-31 12:24:01,2026-02-05 15:44:08,已完成,已完成,2026-02-05 15:53:56,1343984323818,,合肥仓
Spyder,774631,EB2601260049877,换货入库,6932472751408,1,1,1,25125ES461MB06,灰蓝色POLO衫,灰蓝色,,2026-01-31 10:38:00,2026-02-02 16:13:28,已完成,已完成,2026-02-02 17:27:20,JT3152137123591,,合肥仓
Spyder,774651,EB2601260041393,退货入库,6942133512552,1,1,1,253CP25FW213M246,羽绒服,苔藓黄,,2026-01-31 11:02:00,2026-02-01 09:28:29,已完成,已完成,2026-02-01 11:33:59,SF3264785519084,,合肥仓
Spyder,774664,EB2601270034507,退货入库,6942133525446,1,1,1,25425CF431MN22,T恤,灰铜绿,,2026-01-31 13:33:00,2026-02-04 17:23:04,已完成,已完成,2026-02-04 17:40:16,312952818935440,,合肥仓
Spyder,774710,EB2601270039413,退货入库,6932472791787,1,1,1,25325EF247MC12,棉服,枯木棕,,2026-01-31 10:10:00,2026-02-02 13:41:35,已完成,已完成,2026-02-02 15:16:57,631147091894656,,合肥仓
Spyder,774714,EB2601090019175,退货入库,6941816959530,1,1,1,24424EF225M001,黑色羽绒服,黑色,,2026-02-01 09:54:00,2026-02-03 11:21:51,已完成,已完成,2026-02-03 11:54:37,772055984731335,,合肥仓
Spyder,774726,EB2601260017484,退货入库,6942105345355,1,1,1,23423CF317M001,黑色卫衣,黑色,,2026-01-31 09:59:00,2026-02-02 16:33:12,已完成,已完成,2026-02-02 17:27:24,73594185283034,,合肥仓
Spyder,774737,EB2601270022429,退货入库,6942133508104,1,1,1,25325MF421M001,POLO衫,黑色,,2026-01-31 10:43:00,2026-02-02 13:43:20,已完成,已完成,2026-02-02 15:16:57,772055929202898,,合肥仓
