id,code,erpOrderCode,receiptType,companyCode,qtyRatio,totalQty,totalLines,leadingSts,trailingSts,returnWaybillCode,shipFromAttentionTo,uploadBatch,created,userDef5,userDef6,receiptNote,endCheckinDatetime,auditStatus,iqcStatus,crossDockMode,returnException
6652944,778892,EB2602020033753,THRK,HF-SPD,0,1,1,900,900,JDVA41786236724,,2026-02-07 10:32:06,2026-02-05 00:03:00,S京东网上商城,,,2026-02-07 10:26:02,-2,0,0,0
6652945,778891,EB2602020033753,THRK,HF-SPD,0,1,1,900,900,JDVA41786236724,,2026-02-07 10:32:06,2026-02-05 00:03:00,S京东网上商城,,,2026-02-07 10:26:13,-2,0,0,0
6652946,778889,EB2602020033753,THRK,HF-SPD,0,1,1,900,900,JDVA41786236724,,2026-02-07 10:32:06,2026-02-05 00:03:01,S京东网上商城,,,2026-02-07 10:26:23,-2,0,0,0
6652947,778890,EB2602020033753,THRK,HF-SPD,0,1,1,900,900,JDVA41786236724,,2026-02-07 10:32:06,2026-02-05 00:03:01,S京东网上商城,,,2026-02-07 10:26:33,-2,0,0,0
6653837,778575,EB2602010032766,THRK,HF-SPD,0,1,1,900,900,SF5124524709761,,2026-02-08 17:42:06,2026-02-05 08:20:00,S得物,,,2026-02-08 15:12:40,-2,0,0,0
6653868,778410,EB2601300022678,THRK,HF-SPD,0,1,1,900,900,1351347845518,,2026-02-10 16:30:28,2026-02-05 08:25:00,S抖音睿沃旗舰店,,,2026-02-10 15:55:56,-2,0,0,0
6654059,778505,EB2602020020716,THRK,HF-SPD,0,1,1,900,900,631147995848325,,2026-02-08 17:42:06,2026-02-05 08:50:00,S天猫网上旗舰,,,2026-02-08 16:11:11,-2,0,0,0
6654073,778870,EB2601310046276,HHRK,HF-SPD,0,1,1,900,900,73595100035568,,2026-02-07 20:28:06,2026-02-05 08:52:00,S抖音睿沃旗舰店,,,2026-02-07 19:04:01,-2,0,0,0
6654233,778426,EB2601310019853,THRK,HF-SPD,0,1,1,900,900,JDX048880284941,,2026-02-09 11:20:39,2026-02-05 09:03:00,S抖音睿沃旗舰店,,,2026-02-09 11:08:18,-2,0,0,0
6654236,778424,EB2601310019853,THRK,HF-SPD,0,1,1,900,900,JDX048880284941,,2026-02-09 11:20:39,2026-02-05 09:03:01,S抖音睿沃旗舰店,,,2026-02-09 11:08:27,-2,0,0,0
6654237,778423,EB2601310019853,THRK,HF-SPD,0,1,1,900,900,JDX048880284941,,2026-02-09 11:20:39,2026-02-05 09:03:01,S抖音睿沃旗舰店,,,2026-02-09 11:08:36,-2,0,0,0
6654387,778754,EB2602020039862,THRK,HF-SPD,0,1,1,900,900,435033568783457,,2026-02-06 17:58:07,2026-02-05 09:08:00,S天猫网上旗舰,,,2026-02-06 17:27:51,-2,0,0,0
6654816,778696,EB2602020023267,THRK,HF-SPD,0,1,1,900,900,JT3152795748249,,2026-02-07 14:54:05,2026-02-05 09:23:00,S天猫网上旗舰,,,2026-02-07 14:06:57,-2,0,0,0
6655205,778769,EB2602010034573,THRK,HF-SPD,0,1,1,900,900,YT2541968686828,,2026-02-10 14:40:37,2026-02-05 09:41:00,S天猫网上旗舰,,,2026-02-10 13:26:54,-2,0,0,0
6655439,778746,EB2602030023002,THRK,HF-SPD,0,1,1,900,900,YT2582468881988,,2026-02-07 14:56:05,2026-02-05 09:50:01,S天猫网上旗舰,,,2026-02-07 14:15:06,-2,0,0,0
6655465,778550,EB2601280035758,THRK,HF-SPD,0,1,1,900,900,73595063607535,,2026-02-07 20:28:07,2026-02-05 09:52:00,S抖音睿沃旗舰店,,,2026-02-07 19:15:23,-2,0,0,0
6655487,779003,EB2602020000369,THRK,HF-SPD,0,1,1,900,900,JDVA41795854465,,2026-02-07 10:32:05,2026-02-05 09:54:00,S京东网上商城,,,2026-02-07 09:38:55,-2,0,0,0
6655489,779002,EB2602020000369,THRK,HF-SPD,0,1,1,900,900,JDVA41795854465,,2026-02-07 10:32:06,2026-02-05 09:54:01,S京东网上商城,,,2026-02-07 09:39:08,-2,0,0,0
6655505,778641,EB2602020028468,THRK,HF-SPD,0,1,1,900,900,631148022509277,,2026-02-07 14:56:05,2026-02-05 09:55:00,S天猫网上旗舰,,,2026-02-07 14:25:11,-2,0,0,0
6655508,779004,EB2602020026157,THRK,HF-SPD,0,1,1,900,900,JDVA41795919903,,2026-02-07 10:32:08,2026-02-05 09:55:01,S京东网上商城,,,2026-02-07 09:58:25,-2,0,0,0
6655509,779005,EB2602020000369,THRK,HF-SPD,0,1,1,900,900,JDVA41795854465,,2026-02-07 10:32:06,2026-02-05 09:55:02,S京东网上商城,,,2026-02-07 09:39:22,-2,0,0,0
6655511,779006,EB2602030021225,THRK,HF-SPD,0,1,1,900,900,75624579608461,,2026-02-07 20:28:07,2026-02-05 09:55:02,S京东网上商城,,,2026-02-07 19:02:53,-2,0,0,0
6655718,778830,EB2601310017322,THRK,HF-SPD,0,1,1,900,900,73595118450528,,2026-02-07 19:26:07,2026-02-05 10:01:00,S天猫网上旗舰,,,2026-02-07 17:44:12,-2,0,0,0
6655720,778463,EB2602010046708,THRK,HF-SPD,0,1,1,900,900,73595044040030,,2026-02-06 17:58:08,2026-02-05 10:01:01,S抖音睿沃旗舰店,,,2026-02-06 16:46:39,-2,0,0,0
6655836,778831,EB2602020049210,THRK,HF-SPD,0,1,1,900,900,YT2582468308658,,2026-02-07 14:54:06,2026-02-05 10:06:00,S天猫服饰旗舰店,,,2026-02-07 14:07:47,-2,0,0,0
6655837,778465,EB2602010034016,THRK,HF-SPD,0,1,1,900,900,435033796196623,,2026-02-07 19:26:06,2026-02-05 10:06:00,S天猫网上旗舰,,,2026-02-07 17:41:10,-2,0,0,0
6656000,778776,EB2602010036316,THRK,HF-SPD,0,1,1,900,900,312954987903256,,2026-02-08 17:42:07,2026-02-05 10:13:00,S抖音睿沃旗舰店,,,2026-02-08 16:45:06,-2,0,0,0
6656001,778772,EB2602010036316,THRK,HF-SPD,0,1,1,900,900,312954987903256,,2026-02-08 17:42:08,2026-02-05 10:13:00,S抖音睿沃旗舰店,,,2026-02-08 16:45:12,-2,0,0,0
6656002,778919,EB2601310022130,THRK,HF-SPD,0,1,1,900,900,73595108887834,,2026-02-07 19:26:08,2026-02-05 10:13:01,S抖音睿沃旗舰店,,,2026-02-07 17:51:37,-2,0,0,0
6656003,778519,EB2601280044392,THRK,HF-SPD,0,1,1,900,900,73595057228044,,2026-02-07 20:28:07,2026-02-05 10:13:01,S抖音睿沃旗舰店,,,2026-02-07 19:00:54,-2,0,0,0
6656174,778453,EB2602010044065,THRK,HF-SPD,0,1,1,900,900,JDX048913451572,,2026-02-07 11:32:05,2026-02-05 10:16:00,S得物,,,2026-02-07 11:27:45,-2,0,0,0
