货主,入库单号,来源单号,入库单类型,货品编码,计划数量,已收货数,已上架数,货号,商品名称,颜色,规格,创建时间,收货日期,首状态,尾状态,整单完成时间,客退快递单号,备注,仓库
Spyder,771347,EB2601220022752,退货入库,6942133528287,1,1,1,25425CF217M001,羽绒服,黑色,,2026-02-02 10:32:02,2026-02-04 11:44:25,已完成,已完成,2026-02-04 11:51:52,YT2582068604701,,合肥仓
Spyder,773638,EB2601250043596,退货入库,6941816947544,1,1,1,24324EF171MMHB,黑色/蓝色夹克,黑色/蓝色,,2026-02-01 15:20:02,2026-02-03 17:03:45,已完成,已完成,2026-02-03 17:41:15,773404771255744,,合肥仓
Spyder,774598,EB2601260001033,退货入库,6942133505615,1,1,1,25325MF110WN17,夹克,浅云灰,,2026-02-01 08:42:00,2026-02-03 16:42:58,已完成,已完成,2026-02-03 17:41:12,435025817741186,,合肥仓
Spyder,774604,EB2601280028637,退货入库,6942133530419,1,1,1,25425CF127MN94,夹克,羽毛灰1,,2026-02-01 17:33:00,2026-02-03 09:35:05,已完成,已完成,2026-02-03 09:49:39,SF5100483890634,,合肥仓
Spyder,774614,EB2601260042975,退货入库,6942105307056,1,1,1,23323CF202W001,黑色棉服,黑色,,2026-02-01 08:43:00,2026-02-03 16:51:16,已完成,已完成,2026-02-03 17:41:14,435025820188677,,合肥仓
Spyder,774714,EB2601090019175,退货入库,6941816959530,1,1,1,24424EF225M001,黑色羽绒服,黑色,,2026-02-01 09:54:00,2026-02-03 11:21:51,已完成,已完成,2026-02-03 11:54:37,772055984731335,,合肥仓
Spyder,774741,EB2601270041108,退货入库,6941816947841,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-02-02 12:03:00,2026-02-04 13:53:27,已完成,已完成,2026-02-04 13:53:51,772055965289996,,合肥仓
Spyder,774790,EB2601230048086,退货入库,6932472791992,1,1,1,25325EF417M001,T恤,黑色,,2026-02-01 09:03:00,2026-02-03 16:07:11,已完成,已完成,2026-02-03 16:36:21,73594149435893,,合肥仓
Spyder,775044,EB2601250029022,退货入库,6941816943607,1,1,1,24324MR304W001,黑色卫衣,黑色,,2026-02-01 10:14:00,2026-02-05 09:17:46,已完成,已完成,2026-02-05 11:44:44,1314724060233,,合肥仓
Spyder,775065,EB2601220031213,退货入库,6942133527259,1,1,1,25325CF121MG39,冲锋衣,雨林绿,,2026-02-02 17:00:04,2026-02-04 09:55:59,已完成,已完成,2026-02-04 11:14:08,SF5124610035094,,合肥仓
Spyder,775104,EB2601250027809,退货入库,6941816947810,1,1,1,24324EF509M001,黑色裤子,黑色,,2026-02-01 11:33:01,2026-02-02 16:56:07,已完成,已完成,2026-02-02 17:27:26,JDX048663054283,,合肥仓
Spyder,775106,EB2601250027610,退货入库,6932472791190,1,1,1,25325EF115M001,夹克,黑色,,2026-02-01 11:36:00,2026-02-02 16:57:32,已完成,已完成,2026-02-02 17:27:26,JDX048665935659,,合肥仓
Spyder,775245,EB2601290025691,换货入库,6941816947933,1,1,1,24324EF543MN02,深灰色裤子,深灰色;灰色,,2026-02-01 08:52:00,2026-02-02 17:32:21,已完成,已完成,2026-02-02 18:34:47,435025837743542,,合肥仓
Spyder,775285,EB2601280046816,退货入库,6932472700987,1,1,1,24324CF531M001,黑色裤子,黑色,,2026-02-01 15:46:00,2026-02-02 10:47:08,已完成,已完成,2026-02-02 11:22:37,SF5124085776874,,合肥仓
Spyder,775324,EB2601270022268,换货入库,6942133545055,1,1,1,26102OE26101KM001,短袖POLO衫,黑色,,2026-02-01 08:55:00,2026-02-05 15:42:24,已完成,已完成,2026-02-05 15:53:56,1344811721118,,合肥仓
Spyder,775344,EB2601270035856,退货入库,6941816947841,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-02-01 08:55:00,2026-02-03 16:41:21,已完成,已完成,2026-02-03 17:41:12,312953218575625,,合肥仓
Spyder,775360,EB2601280022318,退货入库,6941816947858,1,1,1,24324EF543M001,黑色裤子,黑色,,2026-02-01 16:37:00,2026-02-03 16:15:35,已完成,已完成,2026-02-03 16:36:22,78979349611912,,合肥仓
Spyder,775388,EB2601290017951,换货入库,6941816947889,1,1,1,24324EF543M335,深棕绿裤子,深棕叶绿;深棕绿,,2026-02-01 10:18:02,2026-02-02 17:33:38,已完成,已完成,2026-02-02 18:34:47,435026130201468,,合肥仓
Spyder,775429,EB2601200044741,退货入库,6942133509767,1,1,1,25325MR304WR03,卫衣,野梅粉,,2026-02-02 12:12:00,2026-02-05 13:32:41,已完成,已完成,2026-02-05 14:56:14,772056057989945,,合肥仓
Spyder,775462,EB2601280024210,退货入库,6942133505943,1,0,0,25325MF113M03G,冲锋衣,铅灰色,,2026-02-01 12:58:00,,待收货,待收货,,JT3152289291991,,合肥仓
Spyder,775474,EB2601300021229,退货入库,6942133513535,1,1,1,254CP25FW205M103,三合一,鹭白色,,2026-02-01 10:30:01,2026-02-02 10:06:05,已完成,已完成,2026-02-02 10:39:35,SF5100285950864,,合肥仓
Spyder,775478,EB2601290025136,退货入库,6941767151632,1,1,1,23223CS507M001,黑色裤子,黑色,,2026-02-01 10:31:07,2026-02-03 17:27:56,已完成,已完成,2026-02-03 17:41:18,772055938919404,,合肥仓
Spyder,775497,EB2601240020698,退货入库,6942133528287,1,1,1,25425CF217M001,羽绒服,黑色,,2026-02-02 19:35:00,2026-02-06 13:37:23,已完成,已完成,2026-02-06 14:27:13,78979701947091,,合肥仓
Spyder,775527,EB2601300000542,退货入库,6932472712478,1,1,1,888100245914NE1,米灰色/浅卡其色鞋,米灰色/浅卡其色,,2026-02-01 12:49:00,2026-02-02 16:10:17,已完成,已完成,2026-02-02 17:27:20,78979258888267,,合肥仓
Spyder,775531,EB2601290042474,退货入库,6942133512453,1,1,1,253CP25FW209MG34,三合一,森林雾,,2026-02-01 10:31:07,2026-02-02 10:06:32,已完成,已完成,2026-02-02 10:39:35,SF5100285950864,,合肥仓
Spyder,775549,EB2601290028348,退货入库,6905853664383,1,1,1,21421CF134W001,黑色夹克,黑色,,2026-02-01 10:31:07,2026-02-03 16:34:03,已完成,已完成,2026-02-03 16:36:24,JT3152267463146,,合肥仓
